OBJECTID,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Region,District,Grand,Commission,FarmBureau,Shape__Area,Shape__Length,HD_Cases,DeadDeerCount
47,47,043,01639740,47043,Dickson,Dickson County,06,H1,G4020,400,34980, ,A,1268824248,3689043,+36.1455325,-087.3641546,2,21,Middle,6,2,13696204318.3912,567912.037685703,,
48,47,059,01639747,47059,Greene,Greene County,06,H1,G4020, ,24620, ,A,1611409748,5099752,+36.1795140,-082.8474854,4,42,East,1,5,17398776475.9009,673214.76270412,,
49,47,171,01648582,47171,Unicoi,Unicoi County,06,H1,G4020,304,27740, ,A,482151702,823118,+36.1001262,-082.4182145,4,42,East,1,5,5198270068.83008,401509.568600434,,
50,47,031,01639735,47031,Coffee,Coffee County,06,H1,G4020, ,46100, ,A,1111007254,14482605,+35.4887586,-086.0782188,2,22,Middle,5,3,12113840169.4897,659403.669235182,,
51,47,135,01639781,47135,Perry,Perry County,06,H1,G4020, , , ,A,1074197591,21034746,+35.6637491,-087.8693294,1,12,Middle,7,2,11787889182.6321,583188.44942907,,
52,47,187,01639801,47187,Williamson,Williamson County,06,H1,G4020,400,34980, ,A,1508923180,3012752,+35.8948446,-086.8978858,2,22,Middle,6,2,16272649381.6548,678570.13006099,,
53,47,035,01639736,47035,Cumberland,Cumberland County,06,H1,G4020, ,18900, ,A,1763849862,9823729,+35.9523984,-084.9947614,3,31,East,2,4,19089756638.3412,670899.409257654,,
54,47,093,01639761,47093,Knox,Knox County,06,H1,G4020,314,28940, ,A,1316269093,45712672,+35.9927265,-083.9377209,4,41,East,2,5,14658825720.8064,743650.841679858,,
55,47,029,01639734,47029,Cocke,Cocke County,06,H1,G4020,314,35460, ,A,1125399312,22117950,+35.9161980,-083.1192242,4,42,East,1,5,12350518112.5144,633628.803120015,,
56,47,067,01648577,47067,Hancock,Hancock County,06,H1,G4020, , , ,A,575820508,2984310,+36.5214195,-083.2274526,4,41,East,1,5,6230442918.42029,509483.854101503,,
57,47,071,01639751,47071,Hardin,Hardin County,06,H1,G4020, , , ,A,1495279386,49111071,+35.2018926,-088.1856958,1,12,West,7,1,16623997251.2235,582207.731213237,,
58,47,025,01639733,47025,Claiborne,Claiborne County,06,H1,G4020, , , ,A,1125581221,18090601,+36.5015422,-083.6607217,4,41,East,1,5,12310667798.8634,622680.509949506,,
59,47,143,01639784,47143,Rhea,Rhea County,06,H1,G4020,174,19420, ,A,816823241,54463143,+35.6005870,-084.9495522,3,32,East,4,3,9377617009.21027,577996.033106975,,
60,47,133,01639780,47133,Overton,Overton County,06,H1,G4020, ,18260, ,A,1122721545,3492728,+36.3448504,-085.2830756,3,31,Middle,3,4,12122166298.8956,518588.550491141,,
61,47,131,01639779,47131,Obion,Obion County,06,H1,G4020,362,46460, ,A,1411163263,27434034,+36.3581714,-089.1498791,1,11,West,8,1,15484602225.2807,613331.816758331,,
62,47,147,01639786,47147,Robertson,Robertson County,06,H1,G4020,400,34980, ,A,1233581151,451691,+36.5275304,-086.8693774,2,21,Middle,5,2,13283549326.7456,564293.541576025,,
63,47,189,01639802,47189,Wilson,Wilson County,06,H1,G4020,400,34980, ,A,1479053208,32002363,+36.1484757,-086.2902097,2,21,Middle,5,2,16263680976.7255,751909.462382376,,
64,47,057,01648575,47057,Grainger,Grainger County,06,H1,G4020,314,28940, ,A,726729365,56637201,+36.2774634,-083.5094926,4,41,East,1,5,8431698505.68494,720109.825378557,,
65,47,011,01639727,47011,Bradley,Bradley County,06,H1,G4020,174,17420, ,A,851489150,6959141,+35.1539144,-084.8594137,3,32,East,4,3,9240584689.0329,457624.043312407,,
66,47,157,01639790,47157,Shelby,Shelby County,06,H1,G4020,368,32820, ,A,1977687718,55517852,+35.1837942,-089.8953970,1,11,West,9,1,21885787323.4801,773836.041219689,,
67,47,121,01639775,47121,Meigs,Meigs County,06,H1,G4020, , , ,A,505410612,55964031,+35.5122029,-084.8161018,3,32,East,4,3,6042152463.23724,604073.74247578,,
68,47,103,01639766,47103,Lincoln,Lincoln County,06,H1,G4020, , , ,A,1477188735,971039,+35.1429163,-086.5932976,2,22,Middle,5,2,15911430268.7597,613258.614208524,,
69,47,037,01639737,47037,Davidson,Davidson County,06,H6,G4020,400,34980, ,C,1304953365,56649279,+36.1691287,-086.7847898,2,21,Middle,5,2,14655141626.3235,685219.173847195,,
70,47,007,01639725,47007,Bledsoe,Bledsoe County,06,H1,G4020, , , ,A,1052635798,838360,+35.5936683,-085.2059790,3,32,East,4,3,11338516195.722,570614.65165952,,
71,47,183,01639799,47183,Weakley,Weakley County,06,H1,G4020,362,32280, ,A,1503105587,3709396,+36.3033855,-088.7208026,1,11,West,8,1,16218603894.7574,644451.220952448,,
72,47,117,01639771,47117,Marshall,Marshall County,06,H1,G4020,400,30280, ,A,972442312,1801922,+35.4683433,-086.7658650,2,22,Middle,5,2,10486021766.7946,614252.631654808,,
73,47,091,01639760,47091,Johnson,Johnson County,06,H1,G4020, , , ,A,772960232,11007740,+36.4532029,-081.8612467,4,42,East,1,5,8438665330.36475,513376.852499514,,
74,47,155,01639789,47155,Sevier,Sevier County,06,H1,G4020,314,42940, ,A,1534562013,13491050,+35.8018095,-083.5156955,4,41,East,2,5,16661388435.6082,706833.902720285,,
75,47,139,01639782,47139,Polk,Polk County,06,H1,G4020,174,17420, ,A,1125699133,19830460,+35.1094371,-084.5411124,3,32,East,4,3,12330982174.5564,480036.374456546,,
76,47,077,01639754,47077,Henderson,Henderson County,06,H1,G4020, , , ,A,1346816702,15219341,+35.6539945,-088.3876742,1,12,West,7,1,14659452882.9454,545935.629054549,,
77,47,109,01639774,47109,McNairy,McNairy County,06,H1,G4020, , , ,A,1457754835,1994987,+35.1752280,-088.5636295,1,12,West,9,1,15713048623.4594,555780.469076967,,
78,47,049,01639743,47049,Fentress,Fentress County,06,H1,G4020, , , ,A,1291397312,829331,+36.3698878,-084.9377640,3,31,Middle,3,4,13909233233.5051,624977.272898817,,
79,47,005,01639724,47005,Benton,Benton County,06,H1,G4020, , , ,A,1021248374,108583506,+36.0692530,-088.0712118,1,12,West,7,1,12160386718.5729,654242.12535952,,
80,47,137,01648580,47137,Pickett,Pickett County,06,H1,G4020, , , ,A,422113138,29822859,+36.5593638,-085.0757410,3,31,Middle,3,4,4864857219.31396,483184.36543436,,
81,47,051,01639744,47051,Franklin,Franklin County,06,H1,G4020, ,46100, ,A,1436108600,55079682,+35.1559259,-086.0992032,2,22,Middle,5,3,16051583534.9122,621280.003055767,,
82,47,167,01639795,47167,Tipton,Tipton County,06,H1,G4020,368,32820, ,A,1187267190,38609225,+35.5002588,-089.7668030,1,11,West,9,1,13194282175.8889,863670.468132959,,
83,47,001,01639722,47001,Anderson,Anderson County,06,H1,G4020,314,28940, ,A,873292844,19724754,+36.1167307,-084.1954177,4,41,East,2,5,9611584523.44006,604849.2509973,,
84,47,015,01648572,47015,Cannon,Cannon County,06,H1,G4020,400,34980, ,A,687992438,156144,+35.8083940,-086.0624044,2,21,Middle,5,4,7406392961.85535,425017.837707311,,
85,47,033,01648574,47033,Crockett,Crockett County,06,H1,G4020,297,27180, ,A,687731416,529234,+35.8187949,-089.1324936,1,11,West,8,1,7407592340.46521,517966.237720446,,
86,47,021,01639731,47021,Cheatham,Cheatham County,06,H1,G4020,400,34980, ,A,783308254,11964173,+36.2551687,-087.1008077,2,21,Middle,6,2,8559827069.34338,574460.960815575,,
87,47,113,01639769,47113,Madison,Madison County,06,H1,G4020,297,27180, ,A,1442901132,3930429,+35.6060563,-088.8334238,1,11,West,8,1,15572182233.8476,533020.092774655,,
88,47,045,01639741,47045,Dyer,Dyer County,06,H1,G4020, ,20540, ,A,1326939562,36775687,+36.0528308,-089.4035903,1,11,West,8,1,14677591459.5147,618888.831776996,,
89,47,053,01639745,47053,Gibson,Gibson County,06,H1,G4020, , , ,A,1561106430,2341447,+35.9916366,-088.9338103,1,11,West,8,1,16827200807.983,659707.318544314,,
90,47,151,01639788,47151,Scott,Scott County,06,H1,G4020, , , ,A,1378656638,2414254,+36.4352757,-084.5035281,4,41,East,2,4,14865784304.4403,637518.72832745,,
91,47,039,01639739,47039,Decatur,Decatur County,06,H1,G4020, , , ,A,864665743,28577041,+35.6031362,-088.1102917,1,12,West,7,1,9613960570.43347,558606.806378115,,
92,47,119,01639772,47119,Maury,Maury County,06,H1,G4020,400,34980, ,A,1588021145,6319196,+35.6156963,-087.0777632,2,22,Middle,6,2,17159794618.3182,704708.478807213,,
93,47,047,01639742,47047,Fayette,Fayette County,06,H1,G4020,368,32820, ,A,1825375542,3774866,+35.1969933,-089.4138027,1,11,West,9,1,19689199678.0749,573446.137890698,,
94,47,063,01648576,47063,Hamblen,Hamblen County,06,H1,G4020,314,34100, ,A,417437888,37890940,+36.2183967,-083.2660711,4,42,East,1,5,4900815185.44592,487890.561205552,,
95,47,101,01639765,47101,Lewis,Lewis County,06,H1,G4020, , , ,A,730608072,1031592,+35.5232441,-087.4969827,2,22,Middle,6,2,7874693102.22498,497279.203388607,,
